,Film,Year,Rotten Tomatoes' Top 100
0,One Flew Over the Cuckoo's Nest,1975,unranked
1,City Lights,1931,unranked
2,Avengers: Endgame,2019,7
3,Pulp Fiction,1994,unranked
4,It's a Wonderful Life,1946,unranked
5,Shawshank Redemption,1994,unranked
6,Lord of the Rings: The Fellowship of the Ring,2001,unranked
7,Schindler's List,1993,unranked
8,Parasite,2019,6
9,Star Wars,1977,unranked
10,North by Northwest,1959,79
11,Lawrence of Arabia,1962,unranked
12,Modern Times,1936,4
13,Sunset Blvd,1950,21
14,Vertigo,1958,unranked
15,Seven Samurai,1954,49
16,2001: A Space Odyssey,1968,unranked
17,Apocalypse Now,1979,unranked
18,Rear Window,1954,47
19,Psycho,1960,88
20,Singin' in the Rain,1952,52
21,"The Godfather, Part II",1974,99
22,Casablanca,1942,8
23,Citizen Kane,1941,2
24,The Godfather,1972,17
25,,,
